,treatment ,lv,root,G1,G2,G3,H1,H2,H3,L1,L2,L3,WSA,pH,WHC,MWD,respiration
37,P,1,6.08,1.3736,0.8741,1.0336,0.1205,0.0087,0.0041,0,0.3587,4.8813,31.03151603,7.59,28.9,0.734,1719.97
38,P,1,5.3,0.9124,0.6495,0.7184,0.0666,0.588,0.3167,0,0.1858,2.7858,38.20800443,7.64,30,0.679,1593.728
39,P,1,5.27,1.0117,0.3354,1.1308,0.1444,0.1053,0.0012,0,0.2069,3.2654,24.91452422,7.62,30.2,0.728,855.0081
40,P,1,7.32,0.6763,1.6023,1.109,0.0464,0.3751,0.0135,0,0.5599,1.1537,23.37634128,7.62,30.2,0.673,1429.399
41,St,1,7.14,0.5456,0.223,0.2038,0.4071,0.9812,0.0165,0,0.3332,5.6216,32.03759077,7.62,33,0.69,1349.792
42,St,1,8.72,0.6983,0.2777,0.6807,0.0386,0.3826,0.0242,0.0663,0.5306,3.6051,23.73947863,7.58,28.2,0.695,1929.039
43,St,1,7.94,0.8815,0.5422,0.5269,0.1966,0.7303,0.0112,0.2719,1.1964,4.8823,33.67161402,7.65,29.5,0.716,1996.412
44,St,1,5.65,0.4056,0.2158,0.5168,0.0257,1.0087,0.0132,0.0314,0.5907,2.6478,32.38518395,7.7,28.1,0.706,1654.828
45,St,1,5.32,0.1104,0.819,0.5355,0.1762,1.0867,0.0309,0.0052,0.4692,6.8674,34.03170053,7.65,30.5,0.705,1095.409
46,St,1,10.4,0.8062,0.6637,0.5788,0.1963,0.7933,0.069,0.0155,2.2986,4.3414,33.2688758,7.63,29.1,0.711,1824.082
47,Si,1,5.91,0.763,0.4403,0.9264,0.2201,0.4005,0.3331,0,0.7746,4.5677,26.99803848,7.64,31.1,0.651,476.3857
48,Si,1,11.9,0.379,0.2802,0.4502,0.2082,1.0767,0.0007,0.3984,0.602,1.9172,24.64388039,7.55,30.8,0.677,978.175
49,Si,1,7.65,0.3201,1.8216,0.8466,0.0954,0.3981,0.1776,0.2345,0.6025,5.2077,25.40650407,7.57,30.9,0.67,351.3346
50,Si,1,7.39,0.5624,0.3996,0.6411,0.1667,0.6786,0.4644,0.4589,0.0934,2.6662,31.34872418,7.49,27.8,0.705,764.9641
51,Si,1,5.47,0.6207,0.5633,1.3452,0.2106,0.513,0.0181,0.3772,0.281,2.4928,23.48150526,7.03,28.5,0.675,797.217
52,Si,1,8.01,0.3447,1.1885,1.4447,0.3246,0.6006,0.286,0,0.5004,2.1579,36.5942524,7.04,30.7,0.678,1917.824
53,V,1,7.61,1.0939,0.7501,1.2531,0.1941,0.4401,0.1626,0,0.138,4.3339,19.81826049,7.03,28,0.677,2471.941
54,V,1,7.57,1.2155,1.4303,0.5927,0.0633,1.0007,0.0734,0,0.5532,1.5863,22.77279703,7.2,27,0.678,1807.434
55,V,1,7.02,1.2943,0.2522,0.866,0.1805,1.2487,0.0285,0,0.1192,2.4336,32.39070014,7.15,28.9,0.681,1974.056
56,V,1,7.47,0.9254,0.7763,1.1493,0.1908,0.7711,0.0321,0.0289,0.172,3.0542,29.10872449,7.14,28.3,0.664,907.7012
57,V,1,9.22,0.7676,0.8448,2.5806,0.2106,0.0645,0.0671,0.0093,0.4659,3.3016,25.09489487,7.19,29.5,0.665,1553.936
58,V,1,5.91,3.1235,0.2998,1.355,0.1004,0.1924,0,0,0.1401,3.03,18.46072066,7.17,28.5,0.608,1348.164
